candidate,leave_year,year,date,equity,strategy_return,benchmark_return,daily_excess,risk_state,n_bonds,drop_share,pool_mean_return,confirm_hit
medium_baseline,,2019,20190102,999730.576124,0.0,0.0,0.0,0,,,,
medium_baseline,,2019,20190103,1002128.652124,0.0023987223,0.0018627574,0.0005359648,0,,,,
medium_baseline,,2019,20190104,1011222.276945,0.0090743088,0.0086995243,0.0003747845,0,,,,
medium_baseline,,2019,20190107,1024683.277625,0.0133116141,0.0119718229,0.0013397911,0,,,,
medium_baseline,,2019,20190108,1026303.0269,0.0015807316,0.0022453945,-0.0006646628,0,,,,
medium_baseline,,2019,20190109,1034183.461662,0.0076784678,0.0060829197,0.0015955481,0,,,,
medium_baseline,,2019,20190110,1038359.108662,0.0040376269,0.0023822671,0.0016553598,0,,,,
medium_baseline,,2019,20190111,1041379.678888,0.0029089842,0.0036809028,-0.0007719186,0,,,,
medium_baseline,,2019,20190114,1039310.747888,-0.0019867211,-0.0029966846,0.0010099635,0,,,,
medium_baseline,,2019,20190115,1042966.940888,0.0035179017,0.0051673985,-0.0016494968,0,,,,
medium_baseline,,2019,20190116,1045564.423888,0.0024904749,0.0014760587,0.0010144162,0,,,,
medium_baseline,,2019,20190117,1042286.563888,-0.0031350149,-0.0031650293,3.00144e-05,0,,,,
medium_baseline,,2019,20190118,1041309.20325,-0.0009377082,0.0030861332,-0.0040238413,0,,,,
medium_baseline,,2019,20190121,1042394.172464,0.001041928,0.0032474651,-0.0022055371,0,,,,
medium_baseline,,2019,20190122,1039372.658157,-0.0028986293,-0.0033828641,0.0004842348,0,,,,
medium_baseline,,2019,20190123,1040652.507157,0.0012313668,0.0009860689,0.000245298,0,,,,
medium_baseline,,2019,20190124,1047056.602502,0.0061539229,0.0054756707,0.0006782522,0,,,,
medium_baseline,,2019,20190125,1052803.521502,0.0054886421,0.0047803584,0.0007082837,0,,,,
medium_baseline,,2019,20190128,1044965.527502,-0.0074448782,-0.0040931444,-0.0033517338,0,,,,
medium_baseline,,2019,20190129,1038564.59674,-0.0061254947,-0.0044168439,-0.0017086508,0,,,,
medium_baseline,,2019,20190130,1034064.26074,-0.0043332269,-0.0013131022,-0.0030201247,0,,,,
medium_baseline,,2019,20190131,1029599.68774,-0.0043175005,-0.000436344,-0.0038811565,0,,,,
medium_baseline,,2019,20190201,1040902.10874,0.0109774907,0.0118287426,-0.0008512519,0,,,,
medium_baseline,,2019,20190211,1052316.33674,0.0109657074,0.0093177651,0.0016479423,0,,,,
medium_baseline,,2019,20190212,1060841.05674,0.0081009101,0.0060659149,0.0020349951,0,,,,
medium_baseline,,2019,20190213,1071532.89274,0.0100786408,0.0092428689,0.000835772,0,,,,
medium_baseline,,2019,20190214,1079499.15874,0.0074344577,0.004409997,0.0030244608,0,,,,
medium_baseline,,2019,20190215,1076330.01574,-0.0029357531,-0.0033175474,0.0003817943,0,,,,
medium_baseline,,2019,20190218,1093658.64274,0.016099734,0.0169629525,-0.0008632185,0,,,,
medium_baseline,,2019,20190219,1092203.349959,-0.0013306645,-0.0048801903,0.0035495258,0,,,,
medium_baseline,,2019,20190220,1100642.089959,0.0077263451,0.0031036937,0.0046226514,0,,,,
medium_baseline,,2019,20190221,1108084.039959,0.0067614623,0.0051637135,0.0015977488,0,,,,
medium_baseline,,2019,20190222,1122656.318379,0.0131508784,0.0136132252,-0.0004623468,0,,,,
medium_baseline,,2019,20190225,1160622.714089,0.0338183602,0.0298023015,0.0040160587,0,,,,
medium_baseline,,2019,20190226,1163367.644962,0.0023650501,-0.0088913207,0.0112563708,0,,,,
medium_baseline,,2019,20190227,1170020.547642,0.0057186589,-0.0033040673,0.0090227261,0,,,,
medium_baseline,,2019,20190228,1171911.953642,0.0016165579,0.0017672618,-0.0001507039,0,,,,
medium_baseline,,2019,20190301,1164325.239642,-0.0064737918,0.0033010017,-0.0097747935,0,,,,
medium_baseline,,2019,20190304,1186374.962427,0.0189377693,0.0122676609,0.0066701084,0,,,,
medium_baseline,,2019,20190305,1215285.200427,0.0243685503,0.017555895,0.0068126554,0,,,,
medium_baseline,,2019,20190306,1227738.354462,0.0102471042,0.0108319717,-0.0005848675,0,,,,
medium_baseline,,2019,20190307,1228399.478742,0.0005384896,0.0003568913,0.0001815982,0,,,,
medium_baseline,,2019,20190308,1193908.690742,-0.028077827,-0.0220978141,-0.0059800129,0,,,,
medium_baseline,,2019,20190311,1221462.605742,0.0230787456,0.0227055824,0.0003731632,0,,,,
medium_baseline,,2019,20190312,1239509.595742,0.0147749018,0.0127808147,0.001994087,0,,,,
medium_baseline,,2019,20190313,1224763.860742,-0.0118964267,-0.0109500078,-0.0009464189,0,,,,
medium_baseline,,2019,20190314,1197904.777742,-0.0219300094,-0.0204791816,-0.0014508279,0,,,,
medium_baseline,,2019,20190315,1209548.963742,0.0097204604,0.0113811175,-0.0016606571,0,,,,
medium_baseline,,2019,20190318,1236659.196742,0.022413506,0.0189319618,0.0034815442,0,,,,
medium_baseline,,2019,20190319,1257739.702742,0.0170463342,0.0072841507,0.0097621835,0,,,,
medium_baseline,,2019,20190320,1262073.084742,0.0034453727,-0.0064619997,0.0099073724,0,,,,
medium_baseline,,2019,20190321,1286011.113366,0.0189672285,0.0121186896,0.0068485389,0,,,,
medium_baseline,,2019,20190322,1287257.245284,0.00096899,-0.0020833537,0.0030523437,0,,,,
medium_baseline,,2019,20190325,1265136.384284,-0.0171844914,-0.010284773,-0.0068997184,0,,,,
